ID,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO's database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",How would you describe your gender?,What range best describes your age group?,Do you have any physical or mental health conditions or illnesses that are limiting your day to day activities?,Which of the following best describes your household?,"In general, how satisfied are you with your life?","Compared to others in my neighbourhood, I think my life overall is...",How often do you feel that you lack companionship?,How often do you feel isolated from others or left out?,To what extent are you able to turn to friends and family for help when you need it?,"How much do you agree with the following statement? 
 
 Generally, I borrow things and exchange favours with my neighbours.",Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household's diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.","The food that we bought just didn't last, and we didn't have money to get more.",We couldn't afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?,"The next questions are about the food situation of your children. In the past 12 months, was the following statement true for you? 
 
 We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food.","We couldn't feed our children a balanced meal, because we couldn't afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,household_food_security_label,Which of the following best describes the house you currently live in?,Other,Do you know the Energy Performance Certificate (EPC) rating for the house you currently live in?,Do you use a prepayment or pay-as-you-go meter to pay for your energy usage?,"The following questions are about challenges your household may have had paying energy bills or maintaining heating in your home in the past 12 months. 
 
 How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?",FS1,FS2,FS3,FS4,FS5,FS6,FS7,fuel-security_label,fuel-security_score,"In the past year, how often did you worry about making energy payments?","In the past year, how often did you worry about making rent/ mortgage payments?",Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other,What is your annual household income before tax?,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,lad_code,msoa_code,imd_decile
01g1puj0zbtyyl68d9l01g1pujrxajj5,1,Female,25 to 29,No,Living with partner/ spouse (NO children or children have left home),4,Worse,Hardly ever or never,Hardly ever or never,To some extent,Tend to disagree,,,Close family or friends,,,,Often true,Often true,Often true,Yes,Almost every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in rented accommodation arranged by the Local Authority,,F,No,Almost every month,Almost every month,Almost every month,1,365,1,0,,,,,,,,Very low fuel-security,0,Almost every month,Almost every month,Almost every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",513482,22/11/2022 15:36,22/11/2022 15:39,3,22/11/2022,1,E09000013,E02000387,7
01h0q6h87uvwo01h0qeji2vxnl4z78ik,1,Female,40 to 44,No,Living with partner/ spouse (NO children or children have left home),6,Better,Hardly ever or never,Some of the time,To some extent,Definitely disagree,,,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,1 or 2 months,Never,1,25,0,0,,,,,,,,High fuel-security,0,Some months but not every month,Some months but not every month,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",4319274,22/11/2022 16:01,22/11/2022 16:07,6,22/11/2022,1,E09000015,E02006882,7
01nhwhotteqvsg5qfl301nhwho84uknz,1,Male,30 to 34,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,Better,Often,Some of the time,To some extent,Tend to agree,Foodbank,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in rented accommodation from Housing Association,,Don't know,Don't know,Some months but not every month,Some months but not every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,,Unemployed,,,,,,Prefer not to say,6198143,22/11/2022 18:50,22/11/2022 18:56,6,22/11/2022,1,E09000033,E02000981,7
020yzynec712xmojk020yzynd1hjo9pl,1,Female,55 to 59,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",9,Better,Hardly ever or never,Hardly ever or never,To some extent,Tend to disagree,,,,Community or faith group,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Living in rented accommodation arranged by the Local Authority,,Don't know,Yes,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",2358564,25/11/2022 09:15,25/11/2022 09:22,7,22/11/2022,1,E09000009,E02000276,5
029tb4078h9gvgwasyk029tb49nw0foj,1,Male,55 to 59,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Don't know,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",2592808,22/11/2022 17:39,22/11/2022 17:42,3,22/11/2022,1,E09000029,E02000852,10
02y78kl4j38a7uz0y302y78khms0e1gf,1,Male,25 to 29,No,Living with partner/ spouse (NO children or children have left home),9,The same,Some of the time,Some of the time,To some extent,Tend to agree,,,,,None of the above,,Often true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,Don't know,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",6389886,28/11/2022 08:14,28/11/2022 08:20,6,27/11/2022,1,E09000023,E02000658,2
03sd4y29v9de5p35f03sllcm7h0517jn,1,Female,60 to 64,No,Living with partner/ spouse (NO children or children have left home),10,Much better,Some of the time,Some of the time,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,,Some months but not every month,,,,Retired,,,,,"£14,901- £24,300 p.a.",2199592,27/11/2022 12:47,27/11/2022 12:51,4,27/11/2022,1,E09000002,E02000020,3
04d9wzjtjml0j0wapn3o9904d9wzjlm7,1,Female,30 to 34,No,Living with partner/ spouse (NO children or children have left home),3,The same,Often,Often,To some extent,Tend to agree,,Neighbours,,,,,Often true,Sometimes true,Sometimes true,Yes,Only 1 or 2 months,Yes,Yes,No,Yes,,,,,,,,,,Low food security,Renting from private landlord,,B,Don't know,Almost every month,Some months but not every month,Some months but not every month,1,15,0,1,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,Some months but not every month,,,Unemployed,,,,,,"£14,901- £24,300 p.a.",5553634,22/11/2022 15:34,22/11/2022 15:49,15,22/11/2022,1,E09000028,E02000816,4
04xig3ylhz6gt9vvrnr5904xig3ylw0y,1,Female,30 to 34,No,Living with partner/ spouse (NO children or children have left home),7,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to disagree,,,Close family or friends,,,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,1 or 2 months,1 or 2 months,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",2825426,22/11/2022 15:54,22/11/2022 15:57,3,22/11/2022,1,E09000025,E02000750,8
05m7eizbsj93i1y6a05m7ei676f2bjn2,1,Female,20 to 24,No,"Living with other adults that are non-family members, such as friends/ flatmates",6,The same,Often,Often,To some extent,Tend to disagree,,Neighbours,Close family or friends,,,,Sometimes true,Sometimes true,Often true,Yes,Some months but not every month,Yes,Yes,No,No,,,,,,,,,,Low food security,Renting from private landlord,,B,Yes,Some months but not every month,Some months but not every month,Some months but not every month,0,,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Some months but not every month,,Working part-time,,,,,Student,,"£14,901- £24,300 p.a.",5814492,27/11/2022 12:49,27/11/2022 12:55,6,27/11/2022,1,E09000030,E02000880,4
