user_id,Unable to Turn to Friends or Family,Illness,Food Insecurity,Energy Insecurity,Income,Worry About Energy Payment,Distance to Railway Access,Population Density,Uses Foodbank,Distance to Greenspace,Living Environment Score,Distance to Bus Stop,Distance to Underground Access,Worry About Housing Payment,IMD Score,Unemployed,Age,Not Working Sick or Disabled,Living On my Own With Children Under 18,Gender,Not Working (Looking After Child or House),new_loneliness_binary
85575,1,0,2,2,3,1,966.5635213,2182.914256,0,719.294256,23.049,147.166393,1245.08353,0,15.61,0,2,0,0,1,0,0
12054,2,1,2,1,0,1,716.0704512,8875.601328,0,110.832569,41.933,312.4657408,1101.453158,1,16.47,1,2,1,0,0,0,1
1108729,1,1,3,3,0,1,431.0179827,8472.709381,0,298.804349,42.259,43.11494364,35.40188727,1,34.37,0,4,1,0,0,0,0
1261411,1,0,2,1,3,0,442.9991058,21955.47306,0,633.580582,37.917,167.200854,490.2739991,1,16.762,0,4,0,0,0,0,0
1633334,0,0,0,1,2,0,106.6601468,17056.56889,0,53.887403,49.58,62.7334183,155.9918452,1,25.93,0,1,0,0,0,0,0
179304,0,0,0,0,4,0,1609.938213,3590.291668,0,148.29823,30.335,173.959473,1139.472714,0,8.6,0,2,0,0,0,0,1
216016,0,0,2,1,0,0,1038.539026,7081.50832,1,997.962002,30.185,20.32602285,187.4045655,1,19.334,0,3,0,0,0,0,0
1983972,2,1,0,0,0,1,4334.584216,3856.451116,0,108.961055,14.579,192.7926297,715.6012985,0,13.898,0,4,0,0,0,0,0
12899,0,0,2,0,4,0,1323.383776,7791.640058,0,310.594429,31.034,104.0650431,175.9986309,1,5.985,0,2,0,0,0,1,0
2040847,1,0,2,1,4,1,515.042407,8954.127305,0,329.029752,51.95,57.88101745,934.4710268,0,31.45,0,1,0,0,1,0,0
2109004,1,1,0,0,1,1,1330.538492,6004.157128,0,556.170997,21.211,146.5420735,1310.389302,0,15.103,0,4,0,0,0,1,0
17383,0,0,0,0,4,0,813.2463622,15412.69587,0,255.156881,35.297,134.927751,852.7287589,0,18.245,0,1,0,0,0,0,0
241591,0,0,3,2,0,0,314.5850141,10150.51159,0,212.469856,25.188,121.4687489,1336.051109,1,11.93,0,1,0,0,0,0,0
257906,1,0,2,1,3,0,559.54992,11131.97235,0,643.615522,28.94,156.5800018,672.8772661,1,28.921,0,1,0,0,0,0,1
311900,2,0,2,2,3,0,119.1100404,3354.570568,0,153.489981,49.165,73.43485217,92.32764544,1,13.584,0,3,0,0,0,0,0
2135077,0,0,3,1,1,1,1172.969542,7114.771968,0,30.8798152,20.612,107.1806658,1519.221876,0,23.892,0,0,0,0,0,0,0
32450,0,0,0,0,4,0,1216.172567,18040.94673,0,57.9445285,35.71,30.10155987,887.8742702,0,29.332,0,2,0,0,0,0,0
2142355,1,0,0,1,4,1,281.4651521,5020.3057,0,143.002638,25.002,145.1297347,4330.995091,1,21.984,0,2,0,0,0,0,0
12644,2,1,3,2,2,1,2602.056357,5863.624478,0,272.827118,19.586,22.97486688,19.665797,1,15.206,0,3,1,0,0,0,0
2147085,1,0,3,3,4,1,2088.518574,13629.51323,1,321.915957,49.327,152.5172422,517.5823538,1,40.084,0,3,0,0,0,0,1
344114,1,1,1,0,0,0,637.4551227,16831.2794,0,39.1450146,33.794,261.2900987,1091.89019,0,30.077,0,2,0,0,2,0,0
345697,1,0,0,0,4,0,418.4028575,5892.03671,0,154.47111,23.168,218.9345574,741.4130931,0,8.331,0,2,0,0,0,0,0
350934,0,0,1,0,0,0,1052.939,18969.74134,0,139.500769,21.203,112.6429602,301.5790661,1,39.575,0,1,0,0,0,0,0
363795,1,1,0,1,4,0,206.1629812,1291.060736,0,255.868529,13.211,122.3814702,4667.653671,0,17.303,0,3,0,0,0,0,0
2154124,1,0,0,0,2,0,628.0053983,12087.15488,0,326.401838,44.184,94.06843115,408.4011072,0,38.967,0,3,0,0,0,0,1
414510,1,1,2,1,0,0,2496.928048,4124.682804,1,21.075407,18.274,101.7101337,967.0037657,0,7.828,0,5,0,0,0,0,0
420698,1,0,1,1,2,0,635.5428121,8488.616533,0,281.187035,25.654,168.0721547,4026.052937,1,9.611,0,2,0,0,0,0,1
425893,0,0,2,2,0,0,834.624761,17455.93561,0,548.460402,37.759,77.90615083,805.8720228,0,18.843,1,3,0,0,1,0,0
2155141,1,0,0,0,3,0,1837.382802,9179.768172,0,255.552861,37.983,133.3671173,273.7544479,1,13.41,0,0,0,0,0,1,0
16352,1,0,0,1,4,0,576.7169462,3245.117822,0,651.763284,24.156,159.8514415,178.2754256,1,9.773,0,1,0,0,0,0,0
465397,1,0,1,1,0,0,715.4301281,14234.30532,0,582.454807,22.127,206.8874988,376.4325838,0,16.959,0,5,0,0,0,0,0
478399,0,0,2,0,0,1,632.1147358,19917.38943,0,329.541345,31.804,128.5691957,2687.942212,1,35.185,0,0,0,0,1,0,0
320947,2,0,3,1,1,0,1317.540243,9656.80364,0,243.722399,30.655,234.7736631,1075.382241,1,21.555,0,1,0,0,0,0,1
2170782,1,1,3,3,1,1,867.0427407,16831.2794,1,151.769585,44.211,91.23435234,1323.731238,1,23.702,0,0,1,0,0,0,0
522517,0,0,3,2,0,0,1147.460813,8361.34581,1,703.680389,19.469,54.25227624,4775.222355,1,38.58,1,1,0,0,1,0,0
2171445,1,1,3,3,0,1,682.5469095,16772.60693,1,80.0213263,32.628,56.69199928,1158.462938,1,39.266,0,0,1,0,1,0,0
2177761,1,1,2,1,1,0,3572.912541,6050.56449,0,160.565556,31.496,206.2492952,768.3979319,0,17.141,1,1,0,0,0,0,0
658302,1,0,2,0,2,1,1577.842932,3110.457914,0,437.167345,15.091,230.4275551,5332.254894,1,37.586,0,2,0,0,0,0,1
670364,0,0,0,0,4,0,961.3097006,12330.27174,0,412.685202,38.498,44.94930163,393.491194,0,11.093,0,0,0,0,0,0,0
2181586,1,0,0,0,4,0,1162.330136,15667.46341,0,112.547865,33.585,419.2725512,506.7503529,0,29.949,0,2,0,0,0,0,0
680615,1,0,1,0,2,1,507.4726008,8377.211846,0,224.609655,23.038,52.84778521,2331.42733,1,16.373,0,2,0,0,0,0,0
701171,1,1,3,0,0,0,549.1911188,9098.707105,0,136.73425,28.798,273.0095571,577.4214463,0,10.995,0,2,0,1,0,0,0
813869,0,0,0,0,0,1,2405.016859,2945.679557,0,368.490256,19.701,95.67599537,1001.28925,0,7.296,0,3,0,0,1,0,0
2223107,1,1,3,2,0,1,1636.110128,4276.592356,0,40.6931152,16.516,46.05842341,3360.714307,0,35.261,0,2,0,1,0,0,0
822062,1,1,2,1,2,1,579.9127427,12799.8378,0,297.964044,52.45,131.0643367,805.5661964,1,26.797,0,2,0,0,2,0,0
34975,1,1,3,2,0,1,1709.766602,12499.52782,1,447.079926,19.173,30.79147238,676.6959228,1,26.263,0,2,1,0,0,0,0
2224061,1,0,0,0,4,0,3779.05695,10949.20375,0,625.121913,19.421,34.79654182,434.8357224,0,14.555,0,1,0,0,1,0,0
2229015,1,0,0,0,4,0,1741.578226,1999.530796,0,621.364998,47.623,439.4740322,501.315332,0,27.209,0,2,0,0,1,0,0
2235968,1,1,1,2,0,0,525.9725544,18240.64627,1,316.832553,31.576,16.12258223,544.4144043,1,14.584,0,2,1,0,0,0,1
40273,1,1,3,3,0,1,1207.902326,18456.11024,1,416.014826,26.784,66.75006093,1129.916662,1,30.192,0,3,0,1,0,0,0
2242406,0,1,1,2,3,1,275.6856074,8023.109657,0,128.763992,27.375,130.4597921,987.9318501,1,8.595,0,3,0,0,0,0,0
40118,0,1,2,1,2,1,977.764359,10735.92148,0,582.463606,54.718,28.37605051,1641.195267,1,15.635,0,2,0,0,0,0,0
2257589,1,0,3,2,0,0,171.9181726,14877.00236,1,117.457628,26.411,58.93110635,198.6383484,1,36.797,1,1,0,0,1,0,0
2262433,0,0,1,2,2,0,1191.797132,18690.3203,0,208.308638,37.333,52.70857192,1049.627433,0,19.542,0,1,0,0,0,0,1
2262985,2,0,3,3,1,1,552.45784,10474.95621,0,182.087495,36.319,112.0841344,1665.22541,1,24.98,0,1,0,0,0,0,0
2269354,0,0,0,0,4,0,447.8462464,18240.64627,0,109.208215,31.576,230.2674169,680.450986,0,14.584,0,2,0,0,1,0,0
929221,0,0,2,0,4,0,371.5711829,8676.588652,0,153.307735,35.964,259.7363759,865.365296,1,21.837,0,2,0,0,1,0,0
934932,1,0,1,1,2,0,940.7726274,11647.56237,0,273.374015,25.296,137.1170576,991.6159282,1,20.236,0,1,0,0,0,0,0
969199,1,0,2,0,4,0,211.1689024,11747.95284,0,536.064978,34.242,111.2494302,267.2856988,1,17.721,0,2,0,0,1,0,0
