user_id,Age,lack_companionship,isolation,satisfaction_with_life,Uses Foodbank,Can Socially Rely On Neighbours,Can Socially Rely On Close Family or Friends,Can Socially Rely On Community_or_faith_group,Worry About Rent Payment,Working Full Time,Working Part Time,Unemployed,Retired,Not Working (Looking After Child or House),Not Working Sick or Disabled,Student,OLIO Number of Food Listings,IMD Decile,OLIO Number of Non Food Listings,msoa_usage,listing_rank,added_comments,added_stories,received_likes_comments,received_likes_stories,received_comments,given_ratings,received_ratings,donated_food_listings,donated_non_food_listings,number_of_conversations,messages_count,max_requests_month,monthly_burstiness,max_requests_month_food,max_requests_month_non_food,IMD Score,income_score,employment_score,Education Score,health_score,Crime Score,barriers_score,living_environment_score,income_deprivation_affecting_children_score,income_deprivation_affecting_older_score,children_young_people_score,adult_skills_score,geographical_barriers_score,wider_barriers_score,indoors_score,outdoors_score,income_decile,employment_decile,education_decile,health_decile,crime_decile,barriers_decile,living_environment_decile,Percentage of Universal Credit Claimants,pc_of_pupils_taking_fsm,pct_16to24,pct_25to49,pct_50to64,pct_over65,Population Density,pct_other_lone_parent_children,pct_non_white,closeness_centrality,betweenness_centrality,degree_centrality,clustering,pagerank,dst_bus_coach_stop_street,dst_tram_metro_underground_platform,Population,Average population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,embeddedness_score,gender_Female,gender_Male,gender_other,gender_pnts,illness_No,illness_Prefer not to say,Illness Yes,Living on my own (NO children or children have left home),Living On my Own With Children Under 18,Living with other adult family members,Living with other adults that are non-family members,Living with partner,household_composition_Living with partner/ spouse/ older relative WITH children under 18,neighbourhood_comparison_Better,neighbourhood_comparison_Much better,neighbourhood_comparison_Much worse,neighbourhood_comparison_The same,neighbourhood_comparison_Worse,turn_to_friends_and_family_Not at all,turn_to_friends_and_family_To a large extent,turn_to_friends_and_family_To some extent,pre_payment_Don't know,pre_payment_No,pre_payment_Yes,fuel_security_label_High fuel-security,fuel_security_label_Low fuel-security,fuel_security_label_Marginal fuel-security,fuel_security_label_Very low fuel-security,household_food_security_label_High food-security,household_food_security_label_Low food-security,household_food_security_label_Marginal food-security,household_food_security_label_Very low food-security,house_desc_Buying the house on a mortgage,house_desc_Living in a night shelter/ hostel,house_desc_Living in rented accommodation arranged by the Local Authority,house_desc_Living in rented accommodation from Housing Association,house_desc_Living in student accommodation/ student halls,house_desc_Owning the house outright,house_desc_Renting from private landlord,house_desc_Temporarily living with friends and/ or family while attempting to find permanent accommodation,epc_rating_A,epc_rating_B,epc_rating_C,epc_rating_D,epc_rating_Don't know,epc_rating_E,epc_rating_F,epc_rating_G,worry_about_energy_payment_1 or 2 months,worry_about_energy_payment_Almost every month,worry_about_energy_payment_Never,worry_about_energy_payment_Some months but not every month,"income_range_Less than Â£14,900 p.a.","income_range_More than Â£58,900 p.a.",income_range_Prefer not to say,"income_range_Â£14,901- Â£24,300 p.a.","income_range_Â£24,301- Â£37,900 p.a.","income_range_Â£37,901- Â£58,900 p.a.",isolation_Hardly ever or never,isolation_Often,isolation_Some of the time,lack_companionship_Hardly ever or never,lack_companionship_Often,lack_companionship_Some of the time,satisfaction_with_life_group,satisfaction_with_life_tertile,age_AGE_25_to_34,age_AGE_35_44,age_AGE_45_54,age_AGE_55_64,age_AGE_Over_65,age_AGE_Under_25,Food Insecurity,Income,Worry About Energy Payment,Energy Insecurity,Worry About Housing Payment,No Social Reliance,"Deaths from causes considered preventable, under 75 years",Physical or Mental health Conditions or Illnesses,Gender,Distance to Bus Stop,Distance to Underground Access,Distance to Railway Access,Distance to Greenspace,isolation_composite_score,lack_companionship_composite_score,new_loneliness_binary,updated_income,updated_social_reliance,turn_to_friends_and_family_ordinal,updated_neighbourhood_comparison
85575,2,0,0,7,0,0,1,0,3,1,0,0,0,0,0,0,0,6,0,3,2,0,0,0,0,0,1,0,0,0,2,6,1,0,1,0,15.61,0.099,0.065,15.636,-0.32,-0.143,29.334,23.049,0.111,0.157,-0.662,0.355,0.149,2.344,0.325,0.189,6,7,6,7,6,3,4,0.069549218,0.202238806,9.080036799,34.21343146,20.58877645,15.04139834,2182.914256,14.2,23.5,0,0,4.59E-05,0,8.72E-06,12856.97956,1660.867071,10903,9870.5,653,451,263.32,3481,3456,183.26,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,high,1,0,1,0,0,0,0,2,3,1,2,0,FALSE,77.8,0,1,147.166393,1245.08353,966.5635213,719.294256,0,0,0,3,1,1,2
12054,2,1,1,3,0,0,0,1,2,0,0,1,0,0,1,0,10,6,32,4,4,0,0,0,0,0,4,3,9,5,54,154,1,0,0,1,16.47,0.099,0.066,0.991,-0.237,0.264,24.914,41.933,0.097,0.247,-1.307,0.121,-0.557,2.915,0.451,1.691,6,7,10,6,4,4,2,0.099873043,0.271405493,9.056284384,47.90520525,15.90139653,9.140922556,8875.601328,15.9,37.3,0.149892239,6.49E-05,0.000894126,0.037889039,7.31E-05,16888.34609,1031.279907,9431,12334.21,2590,2289,109.39,1370,1348,152.33,3.39E-05,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,low,1,0,1,0,0,0,0,2,0,1,1,1,FALSE,82.3,1,0,312.4657408,1101.453158,716.0704512,110.832569,2,1,1,0,1,0,1
1108729,4,0,0,8,0,0,0,1,4,0,0,0,0,0,1,0,1561,2,1,4,4,2,0,2,0,0,51,42,604,1,753,1965,14,3.576470588,3,11,34.37,0.158,0.137,12.966,0.699,1.7,27.059,42.259,0.191,0.336,0.316,0.155,-0.449,3.17,0.155,2.094,3,3,6,3,1,3,2,0.078705882,0,16.02352941,46.22352941,14.52941176,10.14117647,8472.709381,11.1,30.6,0.169982069,0.003615049,0.004447705,0.028149059,0.000297834,19086.5748,24.75134405,8180,20839.95,3754,2018.92,93.53,414,388,108.9,0.000125199,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,high,0,0,0,0,1,0,0,3,0,1,3,1,FALSE,113.5,1,0,43.11494364,35.40188727,431.0179827,298.804349,0,0,0,0,1,1,2
1261411,4,1,2,7,0,0,0,0,1,0,0,0,1,0,0,0,5,6,211,4,4,0,0,0,0,0,43,34,4,167,286,777,37,6.733333333,37,6,16.762,0.101,0.065,5.168,-0.337,0.331,27.21,37.917,0.13,0.207,-0.312,0.094,-1.225,3.788,0.184,1.741,5,7,9,7,4,3,2,0.126082921,0,8.864480198,48.05074257,16.07363861,10.58168317,21955.47306,10.6,30.6,0.168782102,0.000567053,0.002453116,0.05913504,8.47E-05,14455.77957,434.9117975,6531,28208.12,3576,3028,79.53,229,226,73.33,0.000145065,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,high,1,0,0,0,1,0,0,2,3,0,1,1,TRUE,103.7,0,0,167.200854,490.2739991,442.9991058,633.580582,1,1,0,3,0,1,3
1633334,1,1,2,7,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,3,0,0,19,40,4,0.4,3,4,25.93,0.131,0.101,3.85,0.071,0.893,31.413,49.58,0.332,0.194,-0.567,0.143,-0.155,3.497,0.41,2.361,4,4,9,5,2,2,1,0.098536036,0.34984639,13.67438867,53.37033462,13.78700129,7.657657658,17056.56889,12.6,37.3,0,0,0.000183411,0.089285714,8.72E-06,17339.88615,245.6739845,11724,22183.99,6673,2303,71.5,652,631,63.73,1.64E-05,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,high,1,1,0,0,0,0,0,0,2,0,1,1,TRUE,99,0,0,62.7334183,155.9918452,106.6601468,53.887403,1,1,0,2,0,2,3
179304,2,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,9,22,3,4,0,0,0,0,0,8,8,0,9,20,54,5,0,5,0,8.6,0.055,0.034,0.406,-0.909,0.134,21.509,30.335,0.039,0.111,-1.568,0.088,-0.863,2.537,0.193,1.144,8,9,10,9,5,5,3,0.045014067,0.082025118,7.908721475,35.88621444,19.13097843,13.42607065,3590.291668,11.1,19.1,0.127370214,6.31E-09,0.000252189,0.036363636,9.01E-05,16683.37563,1132.805065,6496,14171.84,1361,1242,162.94,1255,1244,175.34,9.17E-06,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,high,0,0,1,0,0,0,0,0,4,0,0,0,TRUE,52.5,0,0,173.959473,1139.472714,1609.938213,148.29823,2,1,1,4,0,2,2
216016,3,1,2,8,1,0,1,0,4,0,1,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,2,1,0,0,11,29,5,1.625,5,0,19.334,0.096,0.085,7.8,0.519,0.245,25.928,30.185,0.05,0.259,-0.067,0.128,-1.033,3.497,-0.307,1.668,6,5,8,3,4,4,3,0.03676025,0.152013613,7.725711977,49.00020198,15.2696425,10.11916784,7081.50832,7.2,17.6,0,0,0.000114632,0,8.72E-06,11909.9161,222.2401266,10067,41351.37,2587,1793,141.18,1982,1948,140.62,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,high,0,0,0,1,0,0,0,2,0,0,1,1,FALSE,124.5,0,0,20.32602285,187.4045655,1038.539026,997.962002,1,1,0,0,1,2,2
1983972,4,1,2,6,0,0,0,0,0,0,1,0,0,0,0,0,1,7,9,2,3,0,0,0,0,0,7,7,0,1,18,62,6,2.266666667,0,6,13.898,0.085,0.051,20.895,-0.583,0.199,28.291,14.579,0.086,0.134,0.296,0.312,0.274,1.737,-0.633,0.568,6,8,5,8,5,3,6,0.083405483,0.095083153,10.60606061,37.22943723,17.61904762,14.20634921,3856.451116,18,34.9,0.128011549,2.85E-05,0.000389747,0.047794118,5.80E-05,1397.582203,699.2734186,13705,19709.4,1580,1136,232.79,3797,3737,172.93,1.86E-05,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,high,1,0,0,0,1,0,0,0,0,1,0,0,TRUE,72.9,1,0,192.7926297,715.6012985,4334.584216,108.961055,1,1,0,0,0,0,2
12899,2,1,2,7,0,0,0,0,4,0,0,0,0,1,0,0,1,9,7,4,3,0,0,0,0,0,9,8,1,5,21,51,2,0.2,0,2,5.985,0.047,0.035,0.743,-1.309,-0.842,16.116,31.034,0.05,0.101,-1.329,0.095,-0.796,1.334,0.332,1,9,9,10,10,9,7,3,0.046658539,0.061503417,8.40075363,52.31076139,12.72304112,8.179097861,7791.640058,6.6,22.4,0.148321785,0.00010613,0.000527305,0.041501976,3.37E-05,8885.324824,153.353829,8910,8083.69,2159,1696,139.52,1759,1731,107.48,2.19E-05,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,high,1,0,1,0,0,0,0,2,4,0,0,1,TRUE,66.8,0,0,104.0650431,175.9986309,1323.383776,310.594429,1,1,0,4,0,2,2
2040847,1,0,0,8,0,0,1,0,3,1,0,0,0,0,0,0,2,3,0,4,3,0,0,0,0,0,5,5,2,0,15,80,2,0,1,2,31.45,0.166,0.094,12.855,-0.159,1.38,38.001,51.95,0.245,0.322,0.188,0.209,-1.393,5.159,1.045,1.339,3,5,6,6,1,1,1,0.182571685,0.192371476,8.594683393,51.77718041,11.96983274,8.027180406,8954.127305,15.1,41.8,0.117101386,4.17E-06,0.000389747,0.069852941,1.01E-05,15008.51503,916.1751255,12744,14129.76,7046,2921.13,293.94,786,760,186.11,2.72E-05,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,high,0,1,0,0,0,0,0,2,4,1,1,0,FALSE,142.4,0,1,57.88101745,934.4710268,515.042407,329.029752,0,0,0,4,1,1,3
